Source,Target,Weight
SC-19,SC-7,1
SC-2,SC-22,1
SC-2,SC-3,2
SC-2,SC-39,1
SC-2,SC-7,1
SC-20,SC-21,2
SC-20,SC-22,2
SC-20,SC-8,1
SC-21,SC-22,2
SC-22,SC-24,2
SC-23,SC-8,1
SC-24,SC-7,2
SC-26,SI-3,1
SC-26,SI-4,1
SC-28,SC-8,1
SC-28,SI-3,1
SC-28,SI-7,1
SC-3,SC-39,2
SC-3,SC-7,3
SC-3,SI-16,1
SC-31,SI-11,1
SC-35,SI-4,1
SC-44,SI-3,1
SC-5,SC-6,1
SC-5,SC-7,2
SC-5,SI-8,1
SC-7,SC-8,1
SC-7,SI-3,2
SC-7,SI-4,1
SC-7,SI-8,1
SC-8,SI-7,1
SI-11,SI-2,1
SI-2,SI-3,1
SI-2,SI-4,1
SI-2,SI-5,1
SI-2,SI-8,1
SI-3,SI-4,2
SI-3,SI-7,2
SI-3,SI-8,3
SI-4,SI-7,2
SI-7,SI-8,1
